d,trial,per_add,num_add,user1_cohortId,user2_cohortId,match
500,629,0.5,250,14996,15914,0
500,630,0.01,5,27414,27414,1
500,630,0.02,10,27414,10305,0
500,630,0.05,25,27414,27414,1
500,630,0.1,50,27414,27414,1
500,630,0.2,100,27414,10730,0
500,630,0.3,150,27414,27940,0
500,630,0.5,250,27414,17018,0
500,631,0.01,5,23367,23367,1
500,631,0.02,10,23367,23367,1
500,631,0.05,25,23367,23367,1
500,631,0.1,50,23367,7131,0
500,631,0.2,100,23367,7096,0
500,631,0.3,150,23367,33462,0
500,631,0.5,250,23367,27635,0
500,632,0.01,5,5603,5600,0
500,632,0.02,10,5603,6192,0
500,632,0.05,25,5603,6192,0
500,632,0.1,50,5603,5600,0
500,632,0.2,100,5603,5616,0
500,632,0.3,150,5603,6192,0
500,632,0.5,250,5603,1778,0
500,633,0.01,5,14691,14485,0
500,633,0.02,10,14691,14691,1
500,633,0.05,25,14691,10483,0
500,633,0.1,50,14691,14691,1
500,633,0.2,100,14691,7096,0
500,633,0.3,150,14691,14061,0
500,633,0.5,250,14691,14484,0
500,634,0.01,5,5101,6713,0
500,634,0.02,10,5101,20369,0
500,634,0.05,25,5101,3009,0
500,634,0.1,50,5101,5099,0
500,634,0.2,100,5101,17800,0
500,634,0.3,150,5101,33534,0
500,634,0.5,250,5101,23682,0
500,635,0.01,5,28399,28399,1
500,635,0.02,10,28399,28405,0
500,635,0.05,25,28399,28405,0
500,635,0.1,50,28399,28399,1
500,635,0.2,100,28399,28399,1
500,635,0.3,150,28399,28399,1
500,635,0.5,250,28399,28405,0
500,636,0.01,5,18718,20287,0
500,636,0.02,10,18718,18720,0
500,636,0.05,25,18718,20287,0
500,636,0.1,50,18718,18744,0
500,636,0.2,100,18718,20303,0
500,636,0.3,150,18718,20304,0
500,636,0.5,250,18718,15875,0
500,637,0.01,5,28401,28401,1
500,637,0.02,10,28401,28401,1
500,637,0.05,25,28401,28401,1
500,637,0.1,50,28401,28401,1
500,637,0.2,100,28401,28401,1
500,637,0.3,150,28401,28408,0
500,637,0.5,250,28401,28401,1
500,638,0.01,5,15492,15487,0
500,638,0.02,10,15492,15492,1
500,638,0.05,25,15492,15492,1
500,638,0.1,50,15492,18850,0
500,638,0.2,100,15492,19673,0
500,638,0.3,150,15492,15492,1
500,638,0.5,250,15492,24554,0
500,639,0.01,5,26249,26249,1
500,639,0.02,10,26249,26249,1
500,639,0.05,25,26249,15166,0
500,639,0.1,50,26249,24211,0
500,639,0.2,100,26249,16941,0
500,639,0.3,150,26249,27474,0
500,639,0.5,250,26249,26349,0
500,640,0.01,5,16250,16307,0
500,640,0.02,10,16250,16250,1
500,640,0.05,25,16250,16250,1
500,640,0.1,50,16250,16249,0
500,640,0.2,100,16250,1331,0
500,640,0.3,150,16250,2638,0
500,640,0.5,250,16250,17744,0
500,641,0.01,5,1777,1777,1
500,641,0.02,10,1777,16761,0
500,641,0.05,25,1777,1716,0
500,641,0.1,50,1777,1716,0
500,641,0.2,100,1777,17799,0
500,641,0.3,150,1777,9205,0
500,641,0.5,250,1777,26008,0
500,642,0.01,5,8997,8997,1
500,642,0.02,10,8997,8997,1
500,642,0.05,25,8997,8997,1
500,642,0.1,50,8997,8998,0
500,642,0.2,100,8997,8997,1
500,642,0.3,150,8997,8997,1
500,642,0.5,250,8997,8666,0
500,643,0.01,5,19573,19573,1
500,643,0.02,10,19573,19573,1
500,643,0.05,25,19573,18742,0
500,643,0.1,50,19573,19573,1
500,643,0.2,100,19573,19557,0
500,643,0.3,150,19573,19672,0
500,643,0.5,250,19573,20916,0
500,644,0.01,5,13325,13325,1
500,644,0.02,10,13325,13009,0
500,644,0.05,25,13325,13009,0
500,644,0.1,50,13325,14115,0
500,644,0.2,100,13325,13325,1
500,644,0.3,150,13325,32990,0
500,644,0.5,250,13325,3520,0
500,645,0.01,5,4607,4607,1
500,645,0.02,10,4607,4607,1
500,645,0.05,25,4607,5051,0
500,645,0.1,50,4607,6662,0
500,645,0.2,100,4607,4611,0
500,645,0.3,150,4607,20293,0
500,645,0.5,250,4607,22848,0
500,646,0.01,5,20275,20839,0
500,646,0.02,10,20275,20275,1
500,646,0.05,25,20275,20275,1
500,646,0.1,50,20275,20293,0
500,646,0.2,100,20275,20277,0
500,646,0.3,150,20275,20373,0
500,646,0.5,250,20275,20293,0
500,647,0.01,5,2640,1015,0
500,647,0.02,10,2640,1015,0
500,647,0.05,25,2640,20376,0
500,647,0.1,50,2640,6722,0
500,647,0.2,100,2640,16307,0
500,647,0.3,150,2640,17796,0
500,647,0.5,250,2640,22925,0
500,648,0.01,5,1338,1338,1
500,648,0.02,10,1338,982,0
500,648,0.05,25,1338,1338,1
500,648,0.1,50,1338,1381,0
500,648,0.2,100,1338,17204,0
500,648,0.3,150,1338,18228,0
500,648,0.5,250,1338,22857,0
500,649,0.01,5,8452,1013,0
500,649,0.02,10,8452,8452,1
500,649,0.05,25,8452,1013,0
500,649,0.1,50,8452,8452,1
500,649,0.2,100,8452,8444,0
500,649,0.3,150,8452,25046,0
500,649,0.5,250,8452,8452,1
500,650,0.01,5,24222,24303,0
500,650,0.02,10,24222,24222,1
500,650,0.05,25,24222,24303,0
500,650,0.1,50,24222,24222,1
500,650,0.2,100,24222,24303,0
500,650,0.3,150,24222,24201,0
500,650,0.5,250,24222,26242,0
500,651,0.01,5,5337,5337,1
500,651,0.02,10,5337,5337,1
500,651,0.05,25,5337,5337,1
500,651,0.1,50,5337,2838,0
500,651,0.2,100,5337,11919,0
500,651,0.3,150,5337,1580,0
500,651,0.5,250,5337,2966,0
500,652,0.01,5,16070,16070,1
500,652,0.02,10,16070,16070,1
500,652,0.05,25,16070,16127,0
500,652,0.1,50,16070,16078,0
500,652,0.2,100,16070,16070,1
500,652,0.3,150,16070,16076,0
500,652,0.5,250,16070,16125,0
500,653,0.01,5,16770,16770,1
500,653,0.02,10,16770,1788,0
500,653,0.05,25,16770,16770,1
500,653,0.1,50,16770,16770,1
500,653,0.2,100,16770,1788,0
500,653,0.3,150,16770,16770,1
500,653,0.5,250,16770,16770,1
500,654,0.01,5,20657,20657,1
500,654,0.02,10,20657,20657,1
500,654,0.05,25,20657,20657,1
500,654,0.1,50,20657,19266,0
500,654,0.2,100,20657,20600,0
500,654,0.3,150,20657,20657,1
500,654,0.5,250,20657,20657,1
500,655,0.01,5,26373,26373,1
500,655,0.02,10,26373,26373,1
500,655,0.05,25,26373,26373,1
500,655,0.1,50,26373,26373,1
500,655,0.2,100,26373,26349,0
500,655,0.3,150,26373,31858,0
500,655,0.5,250,26373,1782,0
